GEOID10,FID,BDNAME,BDNUM,TEXT_NBR,GEO_ID,NAME_x,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P005001,P005002,P005003,P005004,P005005,P005006,P005007,P005008,P005009,P005010,P005011,P005012,P005013,P005014,P005015,P005016,P005017
270531040005032,18,Como,37,37,1000000US270531040005032,"Block 5032, Block Group 5, Census Tract 1040, Hennepin County, Minnesota",86,73,0,6,5,0,0,2,86,84,71,0,6,5,0,0,2,2,2,0,0,0,0,0,0
270531040002011,18,Como,37,37,1000000US270531040002011,"Block 2011, Block Group 2, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040002009,18,Como,37,37,1000000US270531040002009,"Block 2009, Block Group 2, Census Tract 1040, Hennepin County, Minnesota",29,24,1,0,3,0,0,1,29,29,24,1,0,3,0,0,1,0,0,0,0,0,0,0,0
270531040002016,18,Como,37,37,1000000US270531040002016,"Block 2016, Block Group 2, Census Tract 1040, Hennepin County, Minnesota",51,45,4,0,2,0,0,0,51,51,45,4,0,2,0,0,0,0,0,0,0,0,0,0,0
270531040001023,18,Como,37,37,1000000US270531040001023,"Block 1023, Block Group 1, Census Tract 1040, Hennepin County, Minnesota",122,98,0,1,12,0,4,7,122,110,96,0,0,12,0,0,2,12,2,0,1,0,0,4,5
270531040001021,18,Como,37,37,1000000US270531040001021,"Block 1021, Block Group 1, Census Tract 1040, Hennepin County, Minnesota",83,68,0,0,4,0,0,11,83,82,67,0,0,4,0,0,11,1,1,0,0,0,0,0,0
270531040001026,18,Como,37,37,1000000US270531040001026,"Block 1026, Block Group 1, Census Tract 1040, Hennepin County, Minnesota",88,83,4,0,1,0,0,0,88,87,82,4,0,1,0,0,0,1,1,0,0,0,0,0,0
270531040002019,18,Como,37,37,1000000US270531040002019,"Block 2019, Block Group 2, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040002005,18,Como,37,37,1000000US270531040002005,"Block 2005, Block Group 2, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040002004,18,Como,37,37,1000000US270531040002004,"Block 2004, Block Group 2, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
