STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,LONGITUDE,LATITUDE
36,085,020803,1006,360850208031006,Block 1006,G5040,,,S,     293139,          0,+40.5325465,-074.2154488,                  -74.2154488000,                   40.5325465000
36,085,015603,1003,360850156031003,Block 1003,G5040,,,S,      23435,          0,+40.5332269,-074.1537803,                  -74.1537803000,                   40.5332269000
36,085,020803,3012,360850208033012,Block 3012,G5040,,,S,       5727,          0,+40.5283506,-074.2154239,                  -74.2154239000,                   40.5283506000
36,085,017012,3013,360850170123013,Block 3013,G5040,,,S,      20840,          0,+40.5482262,-074.1799808,                  -74.1799808000,                   40.5482262000
36,085,020803,2025,360850208032025,Block 2025,G5040,,,S,       9849,          0,+40.5303714,-074.2097789,                  -74.2097789000,                   40.5303714000
36,085,024402,1027,360850244021027,Block 1027,G5040,,,S,      12555,          0,+40.5004968,-074.2354308,                  -74.2354308000,                   40.5004968000
36,085,022800,1021,360850228001021,Block 1021,G5040,,,S,      30902,          0,+40.5684223,-074.1921332,                  -74.1921332000,                   40.5684223000
36,085,017009,2022,360850170092022,Block 2022,G5040,,,S,       4822,          0,+40.5371393,-074.1909881,                  -74.1909881000,                   40.5371393000
36,085,017010,4008,360850170104008,Block 4008,G5040,,,S,      11656,          0,+40.5467257,-074.1965960,                  -74.1965960000,                   40.5467257000
36,085,017010,4013,360850170104013,Block 4013,G5040,,,S,      13296,          0,+40.5453602,-074.1959318,                  -74.1959318000,                   40.5453602000
36,085,017012,2001,360850170122001,Block 2001,G5040,,,S,      16579,          0,+40.5540588,-074.1717568,                  -74.1717568000,                   40.5540588000
36,085,017012,2008,360850170122008,Block 2008,G5040,,,S,      16808,          0,+40.5526425,-074.1714435,                  -74.1714435000,                   40.5526425000
36,085,017011,1001,360850170111001,Block 1001,G5040,,,S,      16326,          0,+40.5497958,-074.1708106,                  -74.1708106000,                   40.5497958000
36,085,020804,1015,360850208041015,Block 1015,G5040,,,S,      17168,          0,+40.5365070,-074.2036261,                  -74.2036261000,                   40.5365070000
36,085,020803,3022,360850208033022,Block 3022,G5040,,,S,       9406,          0,+40.5273256,-074.2082038,                  -74.2082038000,                   40.5273256000
36,085,020804,1021,360850208041021,Block 1021,G5040,,,S,      17128,          0,+40.5351623,-074.2029971,                  -74.2029971000,                   40.5351623000
36,085,020804,3016,360850208043016,Block 3016,G5040,,,S,      14331,          0,+40.5285473,-074.2009998,                  -74.2009998000,                   40.5285473000
36,085,017010,3002,360850170103002,Block 3002,G5040,,,S,       6808,          0,+40.5490183,-074.1973016,                  -74.1973016000,                   40.5490183000
36,085,017009,1000,360850170091000,Block 1000,G5040,,,S,      11829,          0,+40.5462265,-074.1910647,                  -74.1910647000,                   40.5462265000
36,085,017009,1011,360850170091011,Block 1011,G5040,,,S,      19093,          0,+40.5432531,-074.1929972,                  -74.1929972000,                   40.5432531000
36,085,020804,2002,360850208042002,Block 2002,G5040,,,S,      15786,          0,+40.5420647,-074.1993762,                  -74.1993762000,                   40.5420647000
36,085,020804,2019,360850208042019,Block 2019,G5040,,,S,      17255,          0,+40.5385170,-074.1991185,                  -74.1991185000,                   40.5385170000
36,085,020804,2021,360850208042021,Block 2021,G5040,,,S,      16777,          0,+40.5364997,-074.1954571,                  -74.1954571000,                   40.5364997000
36,085,017009,1013,360850170091013,Block 1013,G5040,,,S,      18629,          0,+40.5433188,-074.1900514,                  -74.1900514000,                   40.5433188000
36,085,017009,1018,360850170091018,Block 1018,G5040,,,S,      18879,          0,+40.5426525,-074.1897149,                  -74.1897149000,                   40.5426525000
36,085,017009,2004,360850170092004,Block 2004,G5040,,,S,      18768,          0,+40.5412487,-074.1920341,                  -74.1920341000,                   40.5412487000
